Unnamed: 0,Time_GFOC,Time_SWMA,54_SymD (Omni)_res,55_SymH (Omni)_res,56_AsyD (Omni)_res,57_AsyH (Omni)_res,58_Percent Interpolated_res,59_Timeshift (seconds)_res,60_Time between observations (seconds)_res,61_|avg B|_res,62_Flow Speed (kms_res,63_Proton density (ncc)_res,64_Temperature (K)_res,65_AlphaProton Ratio_res,66_Flow pressure (nPa)_res,67_Electric Field (Mvm)_res,68_Plasma beta_res,69_Alfven mach number_res,70_Magnetosonic mach number_res,71_Vx Velocity (kms)_res,72_Vy Velocity (kms)_res,73_Vz Velocity (kms)_res,74_Bx GSE_res,75_By GSE_res,76_Bz GSE_res,77_By GSM_res,78_Bz GSM_res,79_Spacecraft Position x_res,80_Spacecraft Position y_res,81_Spacecraft Position z_res,82_Bow Shock Nose Position x_res,83_Bow Shock Nose Position y_res,84_Bow Shock Nose Position z_res,85_RMS SD B scalar (nT)_res,86_RMS SD B vector (nT)_res,87_RMS Timeshift (seconds)_res,88_No fine scale IMF points_res,89_No fine scale Plasma points_res,90_Approximate Distance to SEL (Re)_res,91_F10_7 (LASP)_res,92_Kp (LASP)_res,93_ap (LASP)_res,94_Dst (nT) (LASP)_res
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-0.5,-7.5,7.5,1.5,-37.5,411.5,-29.5,-1.0650000000000013,-75.65000000000009,-0.4516666666666671,-63448.33333333334,0.0055,-0.825,2.073333333333333,-0.0416666666666667,-0.3666666666666671,-0.166666666666666,72.95000000000005,-44.45,-12.366666666666667,-0.8050000000000006,-3.555,-1.85,-2.26,-3.3149999999999995,-0.0600000000000022,-1.7550000000000026,-0.1050000000000004,0.9800000000000004,1.37,0.53,-0.005,-0.71,-6.0,-1.5,-0.5,-1.3091502009019749,0.0152439024390389,-0.8333333333333335,-10.0,-11.0
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-1.5,0.5,-2.5,-6.0,50.0,281.5,-15.5,0.0549999999999997,23.03823529411761,-0.5170588235294122,-3550.235294117647,-0.0067058823529411,0.0644117647058823,-0.1470588235294118,-0.3311764705882352,0.0176470588235293,0.3176470588235291,-23.03823529411761,4.944117647058823,-1.479411764705883,0.0250000000000003,-0.2650000000000001,0.5799999999999998,-0.4900000000000002,0.3949999999999998,-0.2249999999999943,-1.323529411764696,-0.1550000000000002,0.0199999999999995,-0.12,0.02,-0.005,0.02,-21.0,-2.0,,-1.0763269223135978,0.0152439024390389,-0.1666666666666669,-0.5,0.5
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-3.5,-21.0,7.5,15.5,,-533.0,-3118.5,-5.109999999999999,-10.174999999999956,-0.8550000000000004,-96081.25,0.0005,-0.8300000000000003,-1.2525000000000004,0.2124999999999999,1.925,1.2999999999999998,10.350000000000025,25.3,5.325,-1.0250000000000004,-4.13,5.785000000000001,-6.175000000000001,3.5,-0.3574999999999875,-1.0224999999999935,-0.1700000000000008,1.7199999999999989,-0.92,-0.1999999999999999,0.02,0.0599999999999998,2.5,1.0,,-0.8203364245898968,0.0152439024390389,,,-15.5
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,2.5,-8.5,-4.5,6.0,-26.5,-2132.5,39.0,0.1450000000000004,42.04499999999996,-0.4659999999999997,-6238.899999999994,-0.02155,-0.0315,1.3865,-0.1889999999999999,-0.2749999999999986,0.1049999999999995,-42.54499999999996,12.175000000000002,-8.409999999999998,-0.3700000000000001,-0.71,-2.405,0.3499999999999998,-2.4800000000000004,-0.4099999999999966,-0.9514999999999958,-0.1800000000000006,-0.1100000000000012,-0.2800000000000001,0.2249999999999999,-0.055,-0.565,-302.5,-7.0,-1.0,-0.7606014660278362,0.0152439024390105,0.1666666666666665,1.5,-9.5
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,2.5,-4.5,6.0,-1.0,-50.0,-1179.5,5.0,0.7199999999999998,22.5,0.31,18261.5,0.002,0.215,0.11,-0.075,-0.25,-0.0999999999999996,-21.55000000000001,25.6,-6.25,-0.7450000000000001,-3.66,1.1849999999999998,-3.835,-0.315,-0.4750000000000227,-0.7199999999999989,-0.2099999999999999,-0.5199999999999996,-0.8049999999999999,0.225,,-0.03,0.5,,,-0.5837645452167806,0.0152439024390389,0.1666666666666665,0.5000000000000004,-2.5000000000000004
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-2.0,2.0,5.0,2.0,-21.5,-815.0,-31.0,-0.5549999999999997,19.08333333333337,0.3766666666666665,6792.333333333314,0.0053333333333333,0.3716666666666666,0.0016666666666665,1.25,3.1500000000000004,0.6833333333333336,-19.450000000000045,8.1,-9.016666666666667,-1.3,0.1149999999999997,-0.535,0.2999999999999998,-0.4699999999999997,-0.4883333333333155,-0.2900000000000062,-0.205,-0.5300000000000011,-0.2199999999999999,0.275,-0.025,-0.6750000000000002,-22.0,-6.5,-1.0,-0.2120113532306504,0.0152439024390105,-0.5,-4.000000000000001,5.0
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,3.5,2.0,-5.0,1.0,-35.5,84.0,264.0,-0.4700000000000006,46.16282608695661,0.4470434782608696,896.8315217391355,-0.0257227876106194,0.2761195652173913,0.1491209677419355,0.3615913978494623,2.1409946236559136,1.3274193548387094,-47.31391304347829,9.437282608695652,-21.85608695652174,-0.855,-0.7950000000000002,0.3500000000000001,-0.8600000000000003,0.055,-0.4951195652173794,-0.1431956521739295,-0.198836956521739,-2.844999999999999,-0.08,-0.98,0.0399999999999999,0.405,691.0,3.0,-0.2445652173913042,-0.0776258060007961,0.0152439024390105,0.5,1.5,-1.0
