,Time_GFOC,Time_SWMA,GFOC_Vy Velocity (km/s),SWMA_Vy Velocity (km/s),Residual_Vy Velocity (km/s)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-26.8,17.65,-44.45
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-0.5249999999999999,-5.469117647058823,4.944117647058823
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,32.2,6.900000000000002,25.3
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,-13.025,-25.200000000000003,12.175000000000002
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,39.2,13.6,25.6
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-11.8375,-19.9375,8.1
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,-0.5649999999999995,-10.002282608695651,9.437282608695652
