,Time_GFOC,Time_SWMA,GFOC_Vz Velocity (km/s),SWMA_Vz Velocity (km/s),Residual_Vz Velocity (km/s)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-16.066666666666666,-3.6999999999999993,-12.366666666666667
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-15.816666666666666,-14.337254901960783,-1.4794117647058833
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,10.3,4.9750000000000005,5.325
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,-13.04,-4.630000000000001,-8.409999999999998
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,-18.0,-11.75,-6.25
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-16.9875,-7.970833333333333,-9.016666666666667
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,-22.0825,-0.22641304347826,-21.85608695652174
