,Time_GFOC,Time_SWMA,GFOC_Time between observations (seconds),SWMA_Time between observations (seconds),Residual_Time between observations (seconds)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,27.5,57.0,-29.5
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,65.0,80.5,-15.5
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,42.0,3160.5,-3118.5
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,18.0,-21.0,39.0
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,42.0,37.0,5.0
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,40.0,71.0,-31.0
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,595.0,331.0,264.0
