,Time_GFOC,Time_SWMA,GFOC_Bow Shock Nose Position z,SWMA_Bow Shock Nose Position z,Residual_Bow Shock Nose Position z
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,0.45,-0.08,0.53
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,0.47,0.4499999999999999,0.020000000000000073
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-0.295,-0.095,-0.19999999999999998
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,0.29,0.065,0.22499999999999998
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,0.685,0.46,0.22500000000000003
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,0.405,0.13,0.275
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,0.49,1.47,-0.98
