,Time_GFOC,Time_SWMA,GFOC_RMS Timeshift (seconds),SWMA_RMS Timeshift (seconds),Residual_RMS Timeshift (seconds)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,0.0,6.0,-6.0
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,1.0,22.0,-21.0
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,4.5,2.0,2.5
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,2.0,304.5,-302.5
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,5.5,5.0,0.5
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,4.5,26.5,-22.0
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,1364.5,673.5,691.0
