,Time_GFOC,Time_SWMA,GFOC_Bz GSM,SWMA_Bz GSM,Residual_Bz GSM
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-2.045,1.2699999999999998,-3.3149999999999995
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-1.99,-2.385,0.3949999999999998
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-4.025,-7.525,3.5
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,-2.055,0.4250000000000002,-2.4800000000000004
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,0.495,0.81,-0.31500000000000006
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-2.485,-2.015,-0.46999999999999975
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,-0.865,-0.92,0.05500000000000005
