,Time_GFOC,Time_SWMA,GFOC_Plasma beta,SWMA_Plasma beta,Residual_Plasma beta
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,0.7283333333333333,0.77,-0.04166666666666674
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,2.220833333333333,2.5520098039215684,-0.3311764705882352
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,0.98,0.7675000000000001,0.2124999999999999
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,0.554,0.743,-0.18899999999999995
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,0.84,0.915,-0.07500000000000007
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,3.950625,2.700625,1.25
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,1.014,0.6524086021505376,0.36159139784946237
