,Time_GFOC,Time_SWMA,GFOC_Flow pressure (nPa),SWMA_Flow pressure (nPa),Residual_Flow pressure (nPa)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,1.265,2.09,-0.825
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,2.22,2.155588235294118,0.06441176470588239
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,1.66,2.49,-0.8300000000000003
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,1.7165,1.748,-0.031500000000000083
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,1.23,1.015,0.21500000000000008
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,2.33625,1.9645833333333336,0.3716666666666666
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,0.76725,0.4911304347826087,0.2761195652173913
