,Time_GFOC,Time_SWMA,GFOC_Spacecraft Position y,SWMA_Spacecraft Position y,Residual_Spacecraft Position y
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,43.29,45.045,-1.7550000000000026
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,68.17916666666667,69.50269607843137,-1.3235294117646959
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,80.36,81.3825,-1.0224999999999937
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,84.6065,85.55799999999999,-0.9514999999999958
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,95.36,96.08,-0.7199999999999989
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,103.22,103.51,-0.29000000000000625
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,104.23825,104.38144565217392,-0.1431956521739295
