,Time_GFOC,Time_SWMA,GFOC_Spacecraft Position x,SWMA_Spacecraft Position x,Residual_Spacecraft Position x
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,200.1,200.16,-0.060000000000002274
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,201.9,202.125,-0.22499999999999432
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,204.78,205.1375,-0.3574999999999875
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,206.35,206.76,-0.4099999999999966
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,211.95,212.425,-0.47500000000002274
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,218.813125,219.30145833333333,-0.4883333333333155
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,220.793,221.2881195652174,-0.49511956521737943
