,Time_GFOC,Time_SWMA,GFOC_Bow Shock Nose Position x,SWMA_Bow Shock Nose Position x,Residual_Bow Shock Nose Position x
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,14.3,13.32,0.9800000000000004
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,12.94,12.92,0.019999999999999574
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,13.225,11.505,1.7199999999999989
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,13.315,13.425,-0.11000000000000121
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,14.39,14.91,-0.5199999999999996
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,12.825,13.355,-0.5300000000000011
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,15.465,18.31,-2.844999999999999
