,Time_GFOC,Time_SWMA,GFOC_Timeshift (seconds),SWMA_Timeshift (seconds),Residual_Timeshift (seconds)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,2796.5,2385.0,411.5
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,3369.0,3087.5,281.5
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,1687.0,2220.0,-533.0
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,711.0,2843.5,-2132.5
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,1942.5,3122.0,-1179.5
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,1467.0,2282.0,-815.0
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,3415.5,3331.5,84.0
