,Time_GFOC,Time_SWMA,GFOC_Bx GSE,SWMA_Bx GSE,Residual_Bx GSE
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,4.13,4.9350000000000005,-0.8050000000000006
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,2.365,2.34,0.025000000000000355
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-2.8200000000000003,-1.795,-1.0250000000000004
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,-5.4350000000000005,-5.065,-0.3700000000000001
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,-3.97,-3.225,-0.7450000000000001
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,0.18,1.48,-1.3
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,2.88,3.735,-0.855
