,Time_GFOC,Time_SWMA,GFOC_AsyH (Omni),SWMA_AsyH (Omni),Residual_AsyH (Omni)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,22.0,20.5,1.5
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,12.5,18.5,-6.0
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,48.5,33.0,15.5
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,19.0,13.0,6.0
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,13.0,14.0,-1.0
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,23.5,21.5,2.0
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,20.0,19.0,1.0
