,Time_GFOC,Time_SWMA,GFOC_# fine scale IMF points,SWMA_# fine scale IMF points,Residual_# fine scale IMF points
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,1.0,2.5,-1.5
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,5.5,7.5,-2.0
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,3.5,2.5,1.0
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,1.5,8.5,-7.0
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,2.0,8.5,-6.5
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,7.5,4.5,3.0
