,Time_GFOC,Time_SWMA,GFOC_Dst (nT) (LASP),SWMA_Dst (nT) (LASP),Residual_Dst (nT) (LASP)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-43.0,-32.0,-11.0
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-3.0055555555555555,-3.5055555555555555,0.5
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-26.991666666666667,-11.491666666666667,-15.5
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,-11.019444444444444,-1.519444444444444,-9.5
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,2.9916666666666667,5.491666666666667,-2.5000000000000004
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-7.025,-12.025,5.0
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,-9.019444444444444,-8.019444444444444,-1.0
