,Time_GFOC,Time_SWMA,GFOC_SymD (Omni),SWMA_SymD (Omni),Residual_SymD (Omni)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-1.0,-0.5,-0.5
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,0.0,1.5,-1.5
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-9.5,-6.0,-3.5
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,6.0,3.5,2.5
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,5.0,2.5,2.5
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-1.5,0.5,-2.0
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,11.0,7.5,3.5
