,Time_GFOC,Time_SWMA,GFOC_Approximate Distance to SEL (Re),SWMA_Approximate Distance to SEL (Re),Residual_Approximate Distance to SEL (Re)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,56.69961700994755,58.00876721084953,-1.3091502009019749
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,76.35841663802523,77.43474356033883,-1.0763269223135978
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,86.21578736976014,87.03612379435003,-0.8203364245898968
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,89.61997231673263,90.38057378276046,-0.7606014660278362
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,98.25145709910838,98.83522164432516,-0.5837645452167806
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,104.55098448898094,104.7629958422116,-0.21201135323065046
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,105.26725256108584,105.34487836708664,-0.07762580600079616
