,Time_GFOC,Time_SWMA,GFOC_By GSM,SWMA_By GSM,Residual_By GSM
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-3.035,-0.7749999999999999,-2.2600000000000002
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-2.7,-2.21,-0.4900000000000002
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-2.49,3.685,-6.175000000000001
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,1.47,1.12,0.34999999999999987
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,-4.21,-0.375,-3.835
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-3.16,-3.46,0.2999999999999998
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,-2.3150000000000004,-1.455,-0.8600000000000003
