,Time_GFOC,Time_SWMA,GFOC_AsyD (Omni),SWMA_AsyD (Omni),Residual_AsyD (Omni)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,36.5,29.0,7.5
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,7.0,9.5,-2.5
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,37.0,29.5,7.5
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,12.0,16.5,-4.5
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,22.0,16.0,6.0
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,24.0,19.0,5.0
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,15.0,20.0,-5.0
