,Time_GFOC,Time_SWMA,GFOC_|avg B|,SWMA_|avg B|,Residual_|avg B|
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,5.529999999999999,6.595000000000001,-1.0650000000000013
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,4.105,4.050000000000001,0.054999999999999716
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,5.515000000000001,10.625,-5.109999999999999
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,5.995,5.85,0.14500000000000046
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,5.81,5.09,0.7199999999999998
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,4.03,4.585,-0.5549999999999997
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,3.965,4.4350000000000005,-0.47000000000000064
