,Time_GFOC,Time_SWMA,GFOC_Kp (LASP),SWMA_Kp (LASP),Residual_Kp (LASP)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,2.6657407407407403,3.499074074074074,-0.8333333333333335
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,1.335185185185185,1.501851851851852,-0.16666666666666696
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,2.6666666666666665,2.5,0.16666666666666652
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,1.0009259259259258,0.8342592592592593,0.16666666666666652
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,2.0046296296296298,2.5046296296296298,-0.5
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,1.6666666666666667,1.1666666666666667,0.5
