,Time_GFOC,Time_SWMA,GFOC_F10.7 (LASP),SWMA_F10.7 (LASP),Residual_F10.7 (LASP)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,168.08507156165314,168.0698276592141,0.015243902439038948
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,167.84116912262874,167.8259252201897,0.015243902439038948
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,167.6887300982385,167.67348619579946,0.015243902439038948
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,167.6277544884824,167.61251058604338,0.015243902439010526
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,167.44482765921413,167.4295837567751,0.015243902439038948
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,167.23141302506775,167.21616912262874,0.015243902439010526
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,167.17043741531165,167.15519351287264,0.015243902439010526
