,Time_GFOC,Time_SWMA,GFOC_RMS SD B scalar (nT),SWMA_RMS SD B scalar (nT),Residual_RMS SD B scalar (nT)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,0.0,0.005,-0.005
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,0.005,0.01,-0.005
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,0.04,0.02,0.02
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,0.0,0.055,-0.055
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,0.01,0.035,-0.025
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,0.09,0.05,0.039999999999999994
