,Time_GFOC,Time_SWMA,GFOC_Vx Velocity (km/s),SWMA_Vx Velocity (km/s),Residual_Vx Velocity (km/s)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-515.8499999999999,-588.8,72.95000000000005
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-437.2583333333333,-414.2200980392157,-23.038235294117612
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-463.9,-474.25,10.350000000000023
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,-603.655,-561.11,-42.54499999999996
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,-428.8,-407.25,-21.55000000000001
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-584.4375,-564.9875,-19.450000000000045
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,-504.31,-456.9960869565217,-47.313913043478294
