,Time_GFOC,Time_SWMA,GFOC_Alpha/Proton Ratio,SWMA_Alpha/Proton Ratio,Residual_Alpha/Proton Ratio
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,0.041,0.0355,0.005500000000000005
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,0.0141666666666666,0.0208725490196078,-0.006705882352941199
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,0.035,0.0345,0.0005000000000000004
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,0.06255,0.0841,-0.02155
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,0.02,0.018,0.0020000000000000018
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,0.0436249999999999,0.0382916666666666,0.005333333333333301
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,0.033225,0.0589477876106194,-0.0257227876106194
