,Time_GFOC,Time_SWMA,GFOC_By GSE,SWMA_By GSE,Residual_By GSE
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-3.64,-0.0849999999999999,-3.555
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-3.305,-3.04,-0.2650000000000001
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-3.965,0.165,-4.13
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,0.48,1.19,-0.71
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,-3.685,-0.0249999999999999,-3.66
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-3.83,-3.945,0.11499999999999977
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,-2.47,-1.675,-0.7950000000000002
