,Time_GFOC,Time_SWMA,GFOC_Temperature (K),SWMA_Temperature (K),Residual_Temperature (K)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,95428.66666666666,158877.0,-63448.33333333334
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,26744.0,30294.235294117647,-3550.235294117647
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,59271.0,155352.25,-96081.25
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,79003.90000000001,85242.8,-6238.899999999994
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,77107.0,58845.5,18261.5
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,222737.3125,215944.9791666667,6792.333333333314
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,135870.125,134973.29347826086,896.8315217391355
