,Time_GFOC,Time_SWMA,GFOC_Alfven mach number,SWMA_Alfven mach number,Residual_Alfven mach number
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,7.183333333333334,7.550000000000001,-0.36666666666666714
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,12.8,12.782352941176471,0.01764705882352935
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,8.25,6.325,1.9249999999999998
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,7.675000000000001,7.949999999999999,-0.2749999999999986
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,6.8,7.05,-0.25
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,15.06875,11.91875,3.1500000000000004
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,7.6125,5.471505376344086,2.1409946236559136
