,Time_GFOC,Time_SWMA,GFOC_Percent Interpolated,SWMA_Percent Interpolated,Residual_Percent Interpolated
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,0.0,37.5,-37.5
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,100.0,50.0,50.0
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,0.0,26.5,-26.5
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,0.0,50.0,-50.0
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,0.0,21.5,-21.5
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,14.5,50.0,-35.5
