,Time_GFOC,Time_SWMA,GFOC_SymH (Omni),SWMA_SymH (Omni),Residual_SymH (Omni)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-39.0,-31.5,-7.5
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-4.0,-4.5,0.5
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-39.0,-18.0,-21.0
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,-17.0,-8.5,-8.5
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,-5.0,-0.5,-4.5
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-14.5,-16.5,2.0
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,-10.5,-12.5,2.0
