,Time_GFOC,Time_SWMA,GFOC_Bow Shock Nose Position y,SWMA_Bow Shock Nose Position y,Residual_Bow Shock Nose Position y
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-0.055,-1.425,1.37
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-0.865,-0.745,-0.12
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-1.75,-0.83,-0.92
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,-0.385,-0.1049999999999999,-0.28000000000000014
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,-2.315,-1.51,-0.8049999999999999
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-0.4649999999999999,-0.245,-0.21999999999999992
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,-1.03,-0.95,-0.08000000000000007
