,Time_GFOC,Time_SWMA,GFOC_Bz GSE,SWMA_Bz GSE,Residual_Bz GSE
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-0.355,1.495,-1.85
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-0.575,-1.1549999999999998,0.5799999999999998
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-2.585,-8.370000000000001,5.785000000000001
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,-2.4800000000000004,-0.0750000000000001,-2.4050000000000002
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,2.09,0.905,1.1849999999999998
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,-1.22,-0.6849999999999999,-0.535
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,-0.0299999999999999,-0.38,0.3500000000000001
