,Time_GFOC,Time_SWMA,GFOC_Flow Speed (km/s,SWMA_Flow Speed (km/s,Residual_Flow Speed (km/s
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,516.75,592.4000000000001,-75.65000000000009
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,437.5583333333333,414.52009803921567,23.038235294117612
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,465.1,475.275,-10.174999999999955
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,603.955,561.9100000000001,42.04499999999996
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,431.0,408.5,22.5
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,584.80625,565.7229166666666,19.08333333333337
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,504.8225,458.6596739130434,46.16282608695661
