,Time_GFOC,Time_SWMA,GFOC_ap (LASP),SWMA_ap (LASP),Residual_ap (LASP)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,11.991666666666667,21.991666666666667,-10.0
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,5.005555555555556,5.505555555555556,-0.5
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,12.0,10.5,1.5
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,4.002777777777778,3.5027777777777778,0.5000000000000004
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,7.041666666666667,11.041666666666668,-4.000000000000001
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,6.0,4.5,1.5
