,Time_GFOC,Time_SWMA,GFOC_Spacecraft Position z,SWMA_Spacecraft Position z,Residual_Spacecraft Position z
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,-9.58,-9.475,-0.10500000000000043
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,-7.56,-7.404999999999999,-0.15500000000000025
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,-5.94,-5.77,-0.17000000000000082
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,-5.21,-5.029999999999999,-0.1800000000000006
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,-2.82,-2.61,-0.20999999999999996
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,0.16,0.365,-0.205
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,0.9965,1.195336956521739,-0.19883695652173905
