,Time_GFOC,Time_SWMA,GFOC_Proton density (n/cc),SWMA_Proton density (n/cc),Residual_Proton density (n/cc)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,2.373333333333333,2.825,-0.4516666666666671
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,5.789166666666667,6.306225490196079,-0.5170588235294122
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,3.83,4.6850000000000005,-0.8550000000000004
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,2.3560000000000003,2.822,-0.46599999999999975
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,3.32,3.01,0.31000000000000005
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,3.41625,3.0395833333333333,0.3766666666666665
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,1.51475,1.0677065217391304,0.44704347826086965
