,Time_GFOC,Time_SWMA,GFOC_# fine scale Plasma points,SWMA_# fine scale Plasma points,Residual_# fine scale Plasma points
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,1.0,1.5,-0.5
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,1.0,2.0,-1.0
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,1.0,2.0,-1.0
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,1.0,1.2445652173913042,-0.2445652173913042
