,Time_GFOC,Time_SWMA,GFOC_RMS SD B vector (nT),SWMA_RMS SD B vector (nT),Residual_RMS SD B vector (nT)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,0.0,0.71,-0.71
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,0.08,0.06,0.020000000000000004
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,0.1149999999999999,0.055,0.059999999999999894
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,0.015,0.58,-0.565
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,0.2,0.23,-0.03
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,0.08,0.7550000000000001,-0.6750000000000002
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,1.03,0.625,0.405
