,Time_GFOC,Time_SWMA,GFOC_Electric Field (Mv/m),SWMA_Electric Field (Mv/m),Residual_Electric Field (Mv/m)
326879,2023-04-25 23:59:30,2023-04-25 23:59:30,1.0783333333333334,-0.9949999999999996,2.073333333333333
349919,2023-05-03 23:59:30,2023-05-03 23:59:30,0.8416666666666666,0.9887254901960784,-0.1470588235294118
364319,2023-05-08 23:59:30,2023-05-08 23:59:30,1.875,3.1275000000000004,-1.2525000000000004
370079,2023-05-10 23:59:30,2023-05-10 23:59:30,1.2635,-0.123,1.3865
387359,2023-05-16 23:59:30,2023-05-16 23:59:30,-0.215,-0.325,0.11000000000000001
407519,2023-05-23 23:59:30,2023-05-23 23:59:30,0.8831249999999999,0.8814583333333333,0.0016666666666665941
413279,2023-05-25 23:59:30,2023-05-25 23:59:30,0.4572499999999999,0.3081290322580644,0.1491209677419355
